case	method	path	status	content-type	body
P04-invalid-state	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"invalid_state","message":"State must be Open or Closed."}
P05-blank-state	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"invalid_state","message":"State must be Open or Closed."}
P06-state-number	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"invalid_state","message":"State must be Open or Closed."}
P07-partial-title-only	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_severity","message":"Severity is required (high, mid, or low)."}
P08-missing-title	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_title","message":"Title is required."}
P09-missing-owner	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_owner","message":"Owner is required."}
P10-missing-description	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_description","message":"Description is required."}
P11-missing-severity	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_severity","message":"Severity is required (high, mid, or low)."}
P12-ws-title	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_title","message":"Title is required."}
P13-invalid-severity	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_severity","message":"Severity is required (high, mid, or low)."}
P14-title-null	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_title","message":"Title is required."}
P15-title-array	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_title","message":"Title is required."}
P16-owner-number	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_owner","message":"Owner is required."}
P17-malformed-json	PUT	/api/bugs/13	400	text/html; charset=utf-8	<!DOCTYPE html><html lang="en"><head><meta charset="utf-8"><title>Error</title></head><body><pre>SyntaxError: Unexpected end of JSON input<br> &nbsp; &nbsp;at J
P18-no-content-type	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_title","message":"Title is required."}
P19-empty-body	PUT	/api/bugs/13	400	application/json; charset=utf-8	{"error":"blank_title","message":"Title is required."}
P20-missing-id-valid-body	PUT	/api/bugs/999999999	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
P21-missing-id-invalid-body	PUT	/api/bugs/999999999	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
P22-non-numeric-id	PUT	/api/bugs/abc	400	application/json; charset=utf-8	{"error":"invalid_id","message":"Bug ID must be a number."}
P23-1abc	PUT	/api/bugs/13abc	200	application/json; charset=utf-8	{"id":13,"title":"[contract] via 1abc","severity":"LOW","owner":"buggy","description":"d","state":"OPEN"}
P24-negative-id	PUT	/api/bugs/-1	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
P25-body-id-ignored	PUT	/api/bugs/13	200	application/json; charset=utf-8	{"id":13,"title":"[contract] target edited","severity":"MID","owner":"vanny","description":"edited","state":"OPEN"}
P26-state-padded	PUT	/api/bugs/13	200	application/json; charset=utf-8	{"id":13,"title":"[contract] target edited","severity":"MID","owner":"vanny","description":"edited","state":"CLOSED"}
D01-valid	DELETE	/api/bugs/14	204		
D02-already-deleted	DELETE	/api/bugs/14	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
D03-get-after-delete	GET	/api/bugs/14	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
D04-missing	DELETE	/api/bugs/999999999	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
D05-non-numeric	DELETE	/api/bugs/abc	400	application/json; charset=utf-8	{"error":"invalid_id","message":"Bug ID must be a number."}
D06-1abc	DELETE	/api/bugs/15abc	204		
D07-1abc-confirm	GET	/api/bugs/15	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
D08-negative	DELETE	/api/bugs/-1	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
D09-with-body-no-ct	DELETE	/api/bugs/999999999	404	application/json; charset=utf-8	{"error":"not_found","message":"Bug not found."}
D10-malformed-json-body	DELETE	/api/bugs/999999999	400	text/html; charset=utf-8	<!DOCTYPE html><html lang="en"><head><meta charset="utf-8"><title>Error</title></head><body><pre>SyntaxError: Expected property name or &#39;}&#39; in JSON at p
D11-no-id	DELETE	/api/bugs	404	text/html; charset=utf-8	<!DOCTYPE html><html lang="en"><head><meta charset="utf-8"><title>Error</title></head><body><pre>Cannot DELETE /api/bugs</pre></body></html>
